original_name,name_de,name_fr,name_it
Appenzell,,,Appenzello
Basel,,Bâle,Basilea
Bellinzona,,Bellinzone,
Bern,,Berne,Berna
Biel/Bienne,Biel (BE),Bienne,Bienne
Brig-Glis,,Brigue-Glis,Briga-Glis
Büchslen,,Buchillon,
Burgdorf,,Berthoud,
Chur,,Coire,Coira
Courgevaux,Gurwolf,,
Delémont,Delsberg,,
Düdingen,,Guin,
Erlach,,Cerlier,
Evilard,Leubringen,,
Fribourg,Freiburg,,Friburgo
Gampelen,,Champion,
Gempenach,,Champagny,
Genève,Genf,,Ginevra
Giffers,,Chevrilles,
Glarus,,Glaris,Glarona
Grenchen,,Granges (SO),
Gruyères,Greyerz,,
Gurmels,,Cormondes,
Ins,,Anet,
Jaun,,Bellegarde,
Kerzers,,Chiètres (FR),
La Neuveville,Neuenstadt,,
Laufen,,Laufon,
Lausanne,,,Losanna
Lengnau (BE),,Longeau,
Leuk,,Loèche-Ville,
Leukerbad,,Loèche-les-Bains,
Ligerz,,Gléresse,
Lurtigen,,Lourtens,
Luzern,,Lucerne,Lucerna
Meyriez,Merlach,,
Moutier,Münster (BE),,
Münchenwiler,,Villars-les-Moines,
Muntelier,,Montilier,
Murten,,Morat,Morat
Neuchâtel,Neuenburg,,
Pieterlen,,Perles,
Plaffeien,,Planfayon,
Porrentruy,Pruntrut,,
Raron,,Rarogne,
Rechthalten,,Dirlaret,
Saanen,,Gessenay,
Saint-Imier,St. Immer,,
Salgesch,,Salquenen,
Salvenach,,Salvagny,
Schaffhausen,,Schaffhouse,Sciaffusa
Schelten,,La Scheulte,
Schwyz,,Schwytz,Svitto
Sierre,Siders,,
Simplon,,,Sempione
Sion,Sitten,,
Solothurn,,Soleure,Soletta
St. Antoni,,Saint-Antoine,
St. Gallen,,Saint-Gall,San Gallo
St. Niklaus,,Saint-Nicolas,
St. Silvester,,Saint-Silvestre,
St. Stephan,,Saint-Etienne,
St. Ursen,,Saint-Ours,
Tafers,,Tavel,
Tentlingen,,Tinterin,
Thun,,Thoune,
Turtmann,,Tourtemagne,
Twann-Tüscherz,,Douanne-Daucher,
Ulmiz,,Ormey,
Varen,,Varone,
Visp,,Viège,
Winterthur,,Winterthour,
Zofingen,,Zofingue,
Zug,,Zoug,Zugo
Zürich,,Zurich,Zurigo