"canton","value","name"
"ZH",261,"Zürich"
"BE",351,"Bern"
"LU",1061,"Luzern"
"UR",1201,"Altdorf (UR)"
"SZ",1372,"Schwyz"
"OW",1407,"Sarnen"
"NW",1509,"Stans"
"GL",1632,"Glarus"
"ZG",1711,"Zug"
"FR",2196,"Fribourg"
"SO",2601,"Solothurn"
"BS",2701,"Basel"
"BL",2829,"Liestal"
"SH",2939,"Schaffhausen"
"AR",3001,"Herisau"
"AI",3101,"Appenzell"
"SG",3203,"St. Gallen"
"GR",3901,"Chur"
"AG",4001,"Aarau"
"TG",4566,"Frauenfeld"
"TI",5002,"Bellinzona"
"VD",5586,"Lausanne"
"VS",6266,"Sion"
"NE",6458,"Neuchâtel"
"GE",6621,"Genève"
"JU",6711,"Delémont"